"region","crimes","area","population"
"Адыгея",16,7792,453376
"Алтай",30,92903,218063
"Алтайский край",196,167996,2350080
"Амурская область",111,361908,798424
"Архангельская область",134,589913,1155028
"Астраханская область",60,49024,1017514
"Башкортостан",320,142947,4063293
"Белгородская область",67,27134,1549876
"Брянская область",63,34857,1210982
"Бурятия",247,351334,984511
"Владимирская область",111,29084,1378337
"Волгоградская область",107,112877,2521276
"Вологодская область",86,144527,1176689
"Воронежская область",118,52216,2333768
"Дагестан",104,50270,3063885
"Еврейская АО",37,36271,162014
"Забайкальский край",209,431892,1072806
"Ивановская область",64,21437,1014646
"Ингушетия",16,3628,488043
"Иркутская область",328,774846,2404195
"Кабардино-Балкария",25,12470,865828
"Калининградская область",59,15125,994599
"Калмыкия",28,74731,275413
"Калужская область",70,29777,1012156
"Камчатский край",34,464275,315557
"Карачаево-Черкесия",26,14277,466305
"Карелия",63,180520,622484
"Кемеровская область",298,95725,2694877
"Кировская область",93,120374,1283238
"Коми",118,416774,840873
"Костромская область",29,60211,643324
"Краснодарский край",280,75485,5603420
"Красноярский край",338,2366797,2876497
"Крым",102,26081,1913731
"Курганская область",95,71488,845537
"Курская область",53,29997,1115237
"Ленинградская область",172,83908,1813816
"Липецкая область",61,24047,1150201
"Магаданская область",35,462464,144091
"Марий Эл",48,23375,682333
"Мордовия",41,26128,805056
"Москва",351,2561,12506468
"Московская область",507,44329,7503385
"Мурманская область",52,144902,753557
"Ненецкий АО",7,176810,43997
"Нижегородская область",219,76624,3234752
"Новгородская область",69,54501,606476
"Новосибирская область",251,177756,2788849
"Омская область",122,141140,1960081
"Оренбургская область",156,123702,1977720
"Орловская область",42,24652,747247
"Пензенская область",50,43352,1331655
"Пермский край",220,160236,2623122
"Приморский край",204,164673,1913037
"Псковская область",44,55399,636546
"Ростовская область",204,100967,4220452
"Рязанская область",60,39605,1121474
"Самарская область",159,53565,3193514
"Санкт-Петербург",212,1403,5351935
"Саратовская область",111,101240,2462950
"Саха (Якутия)",143,3083523,964330
"Сахалинская область",57,87101,490181
"Свердловская область",401,194307,4325256
"Севастополь",16,864,436670
"Северная Осетия — Алания",34,7987,701765
"Смоленская область",67,49779,949348
"Ставропольский край",132,66160,2800674
"Тамбовская область",49,34462,1033552
"Татарстан",284,67847,3894284
"Тверская область",97,84201,1283873
"Томская область",90,314391,1078280
"Тульская область",108,25679,1491855
"Тыва",112,168604,321722
"Тюменская область",117,1464173,3692400
"Удмуртия",117,42061,1513044
"Ульяновская область",94,37181,1246618
"Хабаровский край",178,787633,1328302
"Хакасия",89,61569,537513
"Ханты-Мансийский АО — Югра",99,534801,1655074
"Челябинская область",327,88529,3493036
"Чечня",26,15647,1436981
"Чувашия",73,18343,1231117
"Чукотский АО",14,721481,49348
"Ямало-Ненецкий АО",57,769250,538547
"Ярославская область",79,36177,1265684
